file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098426.1.fastq.gz	FASTQ	DNA	22122	5419900	245	245.0	246	245.0	245.0	245.0	0	245	2	78.87	68.92	9.83	52.91	2
SRR5098427.1.fastq.gz	FASTQ	DNA	667	163794	244	245.6	250	245.0	245.0	245.0	0	245	3	86.06	77.22	12.35	46.64	0
SRR5098429.1.fastq.gz	FASTQ	DNA	12324	3019382	245	245.0	246	245.0	245.0	245.0	0	245	2	77.37	67.98	9.53	55.08	0
SRR5098430.1.fastq.gz	FASTQ	DNA	18597	4556267	245	245.0	246	245.0	245.0	245.0	0	245	2	79.70	70.63	10.08	50.61	1
SRR5098431.1.fastq.gz	FASTQ	DNA	3574	879596	245	246.1	249	245.0	245.0	249.0	0	245	3	86.22	77.30	12.41	51.33	73
SRR5098432.1.fastq.gz	FASTQ	DNA	4536	1111331	245	245.0	249	245.0	245.0	245.0	0	245	3	83.56	73.83	11.42	54.54	9
SRR5098434.1.fastq.gz	FASTQ	DNA	36980	9061501	245	245.0	247	245.0	245.0	245.0	0	245	3	79.52	70.45	10.02	49.33	0
SRR5098435.1.fastq.gz	FASTQ	DNA	26207	6420728	245	245.0	246	245.0	245.0	245.0	0	245	2	79.30	69.24	9.95	49.61	8
SRR5098436.1.fastq.gz	FASTQ	DNA	2096	513923	245	245.2	270	245.0	245.0	245.0	0	245	4	78.13	68.82	9.67	50.27	0
SRR5098438.1.fastq.gz	FASTQ	DNA	19594	4800537	245	245.0	246	245.0	245.0	245.0	0	245	2	79.67	70.96	10.08	45.49	0
SRR5098439.1.fastq.gz	FASTQ	DNA	65910	16148817	245	245.0	249	245.0	245.0	245.0	0	245	3	87.01	77.70	12.74	56.05	661
SRR5098440.1.fastq.gz	FASTQ	DNA	50364	9823594	195	195.1	220	195.0	195.0	195.0	0	195	5	96.67	93.47	19.20	58.09	0
SRR5098442.1.fastq.gz	FASTQ	DNA	28329	6941593	244	245.0	246	245.0	245.0	245.0	0	245	2	77.55	68.44	9.54	50.30	8
SRR5098443.1.fastq.gz	FASTQ	DNA	43902	10757538	245	245.0	250	245.0	245.0	245.0	0	245	4	84.86	75.66	11.92	50.76	529
SRR5098444.1.fastq.gz	FASTQ	DNA	84601	20727322	244	245.0	271	245.0	245.0	245.0	0	245	5	76.90	67.06	9.33	58.57	8
SRR5098445.1.fastq.gz	FASTQ	DNA	2496	611520	245	245.0	245	245.0	245.0	245.0	0	245	1	86.53	77.65	12.53	49.50	4
SRR5098446.1.fastq.gz	FASTQ	DNA	36894	9038379	243	245.0	249	245.0	245.0	245.0	0	245	3	78.63	68.98	9.77	52.91	6
SRR5098447.1.fastq.gz	FASTQ	DNA	70177	17193393	244	245.0	249	245.0	245.0	245.0	0	245	4	86.21	77.13	12.39	51.50	704
SRR5098449.1.fastq.gz	FASTQ	DNA	44830	10983366	244	245.0	247	245.0	245.0	245.0	0	245	3	79.81	70.71	10.01	49.34	9
SRR5098450.1.fastq.gz	FASTQ	DNA	51965	12733250	244	245.0	250	245.0	245.0	245.0	0	245	5	78.98	69.54	9.86	55.03	9
SRR5098452.1.fastq.gz	FASTQ	DNA	1938	474812	245	245.0	246	245.0	245.0	245.0	0	245	2	68.98	60.10	7.94	49.95	0
SRR5098453.1.fastq.gz	FASTQ	DNA	19966	4896192	243	245.2	247	245.0	245.0	245.0	0	245	3	84.17	74.12	11.64	57.79	253
SRR5098454.1.fastq.gz	FASTQ	DNA	12688	3118401	245	245.8	249	246.0	246.0	246.0	0	246	2	81.05	69.72	10.74	61.90	59
SRR5098456.1.fastq.gz	FASTQ	DNA	24917	6104685	244	245.0	249	245.0	245.0	245.0	0	245	3	86.31	77.40	12.47	51.04	397
SRR5098457.1.fastq.gz	FASTQ	DNA	21502	5275815	245	245.4	250	245.0	245.0	245.0	0	245	5	79.19	69.88	9.92	54.69	6
SRR5098458.1.fastq.gz	FASTQ	DNA	68295	16737140	244	245.1	251	245.0	245.0	245.0	0	245	6	84.41	74.41	11.65	61.42	928
SRR5098459.1.fastq.gz	FASTQ	DNA	24257	5942974	244	245.0	247	245.0	245.0	245.0	0	245	3	80.46	71.36	10.36	43.56	1
SRR5098460.1.fastq.gz	FASTQ	DNA	26148	6407287	245	245.0	246	245.0	245.0	245.0	0	245	2	79.27	70.12	9.97	48.33	1
SRR5098461.1.fastq.gz	FASTQ	DNA	29775	7299846	242	245.2	250	245.0	245.0	245.0	0	245	5	78.81	69.66	9.88	48.44	3
SRR5098465.1.fastq.gz	FASTQ	DNA	3407	834717	245	245.0	246	245.0	245.0	245.0	0	245	2	85.66	76.28	12.12	56.66	134
SRR5098466.1.fastq.gz	FASTQ	DNA	53186	13030593	244	245.0	248	245.0	245.0	245.0	0	245	3	80.93	71.30	10.38	46.59	6
SRR5098467.1.fastq.gz	FASTQ	DNA	29918	7329944	245	245.0	270	245.0	245.0	245.0	0	245	4	78.68	68.77	9.79	54.96	11
SRR5098469.1.fastq.gz	FASTQ	DNA	18533	4545046	245	245.2	250	245.0	245.0	245.0	0	245	5	79.43	70.83	10.02	43.02	0
SRR5098470.1.fastq.gz	FASTQ	DNA	13941	2718504	194	195.0	199	195.0	195.0	195.0	0	195	4	94.79	90.36	16.87	63.68	0
