"","Kingdom","Phylum","Class","Order","Family","Genus","unique"
"g__Wickerhamiella","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Wickerhamiella","g__Wickerhamiella"
"g__Nigrospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Apiosporaceae","g__Nigrospora","g__Nigrospora"
"g__Discosia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Sporocadaceae","g__Discosia","g__Discosia"
"g__Pestalotiopsis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Sporocadaceae","g__Pestalotiopsis","g__Pestalotiopsis"
"g__Vialaea","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Vialaeaceae","g__Vialaea","g__Vialaea"
"g__Verhulstia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","g__Verhulstia","g__Verhulstia"
"g__Coniochaeta","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","g__Coniochaeta"
"g__Cytospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Cytosporaceae","g__Cytospora","g__Cytospora"
"g__Stenocarpella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Stenocarpella","g__Stenocarpella"
"g__Thyridium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthomycetidae_ord_Incertae_sedis","f__Thyridiaceae","g__Thyridium","g__Thyridium"
"g__Chlamydosporiella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Chlamydosporiella","g__Chlamydosporiella"
"g__Stachylidium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Stachylidium","g__Stachylidium"
"g__Acremonium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Acremonium","g__Acremonium"
"g__Valsonectria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Valsonectria","g__Valsonectria"
"g__Cordycipitaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Cordycipitaceae_gen_Incertae_sedis","g__Cordycipitaceae_gen_Incertae_sedis"
"g__Engyodontium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Engyodontium","g__Engyodontium"
"g__Lecanicillium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Lecanicillium","g__Lecanicillium"
"g__Bulbithecium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Bulbithecium","g__Bulbithecium"
"g__Bisifusarium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Bisifusarium","g__Bisifusarium"
"g__Fusarium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","g__Fusarium"
"g__Fusicolla","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusicolla","g__Fusicolla"
"g__Paracremonium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Paracremonium","g__Paracremonium"
"g__Parasarocladium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Sarocladiaceae","g__Parasarocladium","g__Parasarocladium"
"g__Sarocladium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Sarocladiaceae","g__Sarocladium","g__Sarocladium"
"g__Albifimbria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Albifimbria","g__Albifimbria"
"g__Dimorphiseta","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Dimorphiseta","g__Dimorphiseta"
"g__Myxospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Myxospora","g__Myxospora"
"g__Pyricularia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Pyriculariaceae","g__Pyricularia","g__Pyricularia"
"g__Microascus","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Microascus","g__Microascus"
"g__Scopulariopsis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Scopulariopsis","g__Scopulariopsis"
"g__Myrmecridium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Myrmecridiales","f__Myrmecridiaceae","g__Myrmecridium","g__Myrmecridium"
"g__Ramophialophora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Bombardiaceae","g__Ramophialophora","g__Ramophialophora"
"g__Chaetomium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Chaetomium","g__Chaetomium"
"g__Mycothermus","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Mycothermus","g__Mycothermus"
"g__Thermothelomyces","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Thermothelomyces","g__Thermothelomyces"
"g__Schizothecium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Schizothecium","g__Schizothecium"
"g__Immersiella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Neoschizotheciaceae","g__Immersiella","g__Immersiella"
"g__Neurospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariaceae","g__Neurospora","g__Neurospora"
"g__Coniocessia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Coniocessiaceae","g__Coniocessia","g__Coniocessia"
"g__Eutypella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Eutypella","g__Eutypella"
"g__Peroneutypa","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Peroneutypa","g__Peroneutypa"
"g__Biscogniauxia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Graphostromataceae","g__Biscogniauxia","g__Biscogniauxia"
"g__Annulohypoxylon","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Hypoxylaceae","g__Annulohypoxylon","g__Annulohypoxylon"
"g__Ascotricha","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Ascotricha","g__Ascotricha"
"g__Cystostereaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cystostereaceae","g__Cystostereaceae_gen_Incertae_sedis","g__Cystostereaceae_gen_Incertae_sedis"
"g__Limnoperdon","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Limnoperdaceae","g__Limnoperdon","g__Limnoperdon"
"g__Candolleomyces","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Candolleomyces","g__Candolleomyces"
"g__Amphinema","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Amphinema","g__Amphinema"
"g__Atheliaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Atheliaceae_gen_Incertae_sedis","g__Atheliaceae_gen_Incertae_sedis"
"g__Eichleriella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariaceae","g__Eichleriella","g__Eichleriella"
"g__Botryobasidium","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Botryobasidiaceae","g__Botryobasidium","g__Botryobasidium"
"g__Ceratobasidium","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidium","g__Ceratobasidium"
"g__Rhizoctonia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Rhizoctonia","g__Rhizoctonia"
"g__Thanatephorus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Thanatephorus","g__Thanatephorus"
"g__Sistotrema","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Sistotrema","g__Sistotrema"
"g__Limonomyces","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Limonomyces","g__Limonomyces"
"g__Skvortzovia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Skvortzovia","g__Skvortzovia"
"g__Lyomyces","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Lyomyces","g__Lyomyces"
"g__Flavodon","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Flavodon","g__Flavodon"
"g__Mycoacia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Mycoacia","g__Mycoacia"
"g__Phaeophlebiopsis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Phaeophlebiopsis","g__Phaeophlebiopsis"
"g__Polyporales_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporales_fam_Incertae_sedis","g__Polyporales_gen_Incertae_sedis","g__Polyporales_gen_Incertae_sedis"
"g__Antrodiella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Steccherinaceae","g__Antrodiella","g__Antrodiella"
"g__Peniophoraceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophoraceae_gen_Incertae_sedis","g__Peniophoraceae_gen_Incertae_sedis"
"g__Vararia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Vararia","g__Vararia"
"g__Xenasmatella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Xenasmataceae","g__Xenasmatella","g__Xenasmatella"
"g__Brevicellicium","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Brevicellicium","g__Brevicellicium"
