"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"SRR5098376",7,7,0,NA,NA,1.90210273764594,0.844615630501686,6.43565374837044,0.707480759172487
"SRR5098377",9,9,0,NA,NA,1.55532931917829,0.651764270179895,2.87161802873183,0.931711952876751
"SRR5098378",10,10,0,NA,NA,1.97366738442258,0.818327066402961,5.50439727151684,0.982720984851219
"SRR5098379",2,2,0,NA,NA,0.688692314281717,0.495551752939436,1.98236391111879,0.20159193215677
"SRR5098380",2,2,0,NA,NA,0.687913351822234,0.494775308641975,1.97931735543652,0.302419248631234
"SRR5098382",2,2,0,NA,NA,0.637950252329004,0.445826369319597,1.80448860183445,0.207409029115537
"SRR5098383",1,1,0,NA,NA,0,0,1,0.106316697419187
"SRR5098384",9,9,0,NA,NA,0.652552644373993,0.293391627949656,1.41521108375539,0.791011613151887
"SRR5098385",4,4,0,NA,NA,0.232466466161351,0.088820452133817,1.09747854014263,0.35350760698577
"SRR5098386",5,5,0,NA,NA,0.780697233246706,0.35703635089215,1.55529787941754,0.487121884774641
"SRR5098388",6,6,0,NA,NA,0.450374170561925,0.18855528666675,1.23236985042666,0.534010055959637
"SRR5098389",16,16,0,NA,NA,0.682494798078816,0.242831735415455,1.32071039790435,1.56673186190814
"SRR5098390",7,7,0,NA,NA,1.48277480825493,0.67543224442579,3.08102078171889,0.746287083588954
"SRR5098392",6,6,0,NA,NA,1.2726444933564,0.603191446063366,2.52010696362077,0.581779014531443
"SRR5098393",7,7,0,NA,NA,1.15539811260608,0.521445076340087,2.08962430550741,0.715318151946941
"SRR5098394",19,19,0,NA,NA,0.887593759420512,0.341509662783301,1.51862516954583,1.73220425499814
"SRR5098395",15,15,0,NA,NA,1.31372356455288,0.587290960823163,2.42301453342174,1.60175536838434
"SRR5098396",2,2,0,NA,NA,0.064245894992866,0.0233779213404279,1.0239375310586,0.17367900470798
"SRR5098397",5,5,0,NA,NA,1.50061684994926,0.754396482821381,4.07160292933727,0.482240086968152
"SRR5098398",1,1,0,NA,NA,0,0,1,0.0680057141007415
"SRR5098400",6,6,0,NA,NA,0.806306012858649,0.359862001656974,1.56216316261254,0.553871655636785
"SRR5098401",9,9,0,NA,NA,0.878436444669604,0.423247833177515,1.73384697539902,0.756813375636582
"SRR5098402",5,5,0,NA,NA,1.53180851594218,0.765750698855286,4.26895617239097,0.533327631665597
"SRR5098403",13,13,0,NA,NA,1.03647336009884,0.445778583984978,1.80433301764163,1.1640425792054
"SRR5098404",8,8,0,NA,NA,1.41227727075053,0.633457015379284,2.72819298679187,0.849543569315688
"SRR5098406",9,9,0,NA,NA,1.44570447523446,0.717169902062735,3.53569159468244,0.821551366374376
"SRR5098407",4,4,0,NA,NA,0.330269223580122,0.135051380573675,1.1561380381915,0.455920882655991
"SRR5098408",1,1,0,NA,NA,0,0,1,0.0983930044833837
"SRR5098409",11,11,0,NA,NA,0.110737986599078,0.0321484012806041,1.03321625063506,0.878384207568437
