"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"SRR5098372",9,9,0,NA,NA,1.3327027364806,0.556553521729534,2.25506357362496,0.914192661396961
"SRR5098373",12,12,0,NA,NA,1.95138772488709,0.804002813899173,5.10211406548239,1.24332626863433
"SRR5098374",10,10,0,NA,NA,1.24397248130929,0.516120277960479,2.06662927676545,1.1374864024518
"SRR5098375",7,7,0,NA,NA,0.851490736148006,0.373366713502289,1.59582968467739,0.651152066354201
"SRR5098376",7,7,0,NA,NA,1.90210273764594,0.844615630501686,6.43565374837044,0.707480759172487
"SRR5098377",14,14,0,NA,NA,2.00073041603232,0.81971256703488,5.54669831143177,1.38417472317098
"SRR5098378",12,12,0,NA,NA,2.15654882078975,0.844522130143714,6.43178351314136,1.19126286348395
"SRR5098379",2,2,0,NA,NA,0.688692314281717,0.495551752939436,1.98236391111879,0.20159193215677
"SRR5098380",3,3,0,NA,NA,1.06582140960394,0.64563614744352,2.82195825783504,0.466243275941788
"SRR5098382",2,2,0,NA,NA,0.637950252329004,0.445826369319597,1.80448860183445,0.207409029115537
"SRR5098383",1,1,0,NA,NA,0,0,1,0.106316697419187
"SRR5098384",17,17,0,NA,NA,1.02243903558365,0.428030893577065,1.74834617599183,1.57393658892461
"SRR5098385",4,4,0,NA,NA,0.232466466161351,0.088820452133817,1.09747854014263,0.35350760698577
"SRR5098386",7,7,0,NA,NA,0.855828097188459,0.376971910335251,1.6050640678787,0.706461949357023
"SRR5098388",12,12,0,NA,NA,1.20525038206426,0.518379197131421,2.07632227271726,1.11256601408917
"SRR5098389",28,28,0,NA,NA,1.08305154237491,0.360905743017126,1.56471442056285,2.89094109381807
"SRR5098390",24,24,0,NA,NA,2.55277321246979,0.895076695275432,9.53077109632676,2.34369363955294
"SRR5098392",11,11,0,NA,NA,1.82037109826632,0.77487848822858,4.44204550747404,1.08875815894787
"SRR5098393",16,16,0,NA,NA,1.93971583455535,0.778281235149819,4.51021816162342,1.64004924144831
"SRR5098394",22,22,0,NA,NA,0.946860450918005,0.35695940586777,1.5551117754074,2.03319077983711
"SRR5098395",16,16,0,NA,NA,1.32669547816816,0.589134571965085,2.43388694148056,1.72136288934569
"SRR5098396",4,4,0,NA,NA,0.736013587756039,0.46797934983159,1.87962628834699,0.356660243749292
"SRR5098397",6,6,0,NA,NA,1.64893966099328,0.782597955572233,4.59977275113554,0.585569118722785
"SRR5098398",1,1,0,NA,NA,0,0,1,0.0680057141007415
"SRR5098400",7,7,0,NA,NA,0.887627353213776,0.384578860363672,1.62490355887179,0.655127170579583
"SRR5098401",10,10,0,NA,NA,0.90174558239933,0.428020606960308,1.74831473330824,0.848792691270768
"SRR5098402",8,8,0,NA,NA,1.9957382459702,0.852791539879743,6.793087837364,0.840410649993787
"SRR5098403",15,15,0,NA,NA,1.06466758800277,0.450973521667458,1.82140577816414,1.36166999049092
"SRR5098404",10,10,0,NA,NA,1.72415715230446,0.725129624551244,3.63807848833251,1.06884586746652
"SRR5098406",17,17,0,NA,NA,1.83982216912376,0.774168827999862,4.4280866593536,1.63723359454468
"SRR5098407",6,6,0,NA,NA,0.571234176019776,0.231407311896181,1.30107925235027,0.715751857154559
"SRR5098408",1,1,0,NA,NA,0,0,1,0.0983930044833837
"SRR5098409",26,26,0,NA,NA,0.475080223138663,0.165105653646009,1.19775634410154,2.22850918524501
"SRR5098410",6,6,0,NA,NA,1.3117310467089,0.653237946334033,2.88382188716442,0.584123666618689
"SRR5098411",16,16,0,NA,NA,2.0157222370119,0.790701400902027,4.77786284432748,1.69892295611688
"SRR5098413",19,19,0,NA,NA,0.966696597060668,0.356557962225223,1.55414154079567,1.72691640054651
"SRR5098415",5,5,0,NA,NA,0.768853167684961,0.362010813320971,1.56742468505677,0.501910080256381
"SRR5098416",5,5,0,NA,NA,1.51512600352917,0.759876022863961,4.16451539711698,0.555898647383398
"SRR5098417",2,2,0,NA,NA,0.110010281412387,0.0452041908203586,1.0473443540344,0.217272560376832
"SRR5098420",4,4,0,NA,NA,0.815402346389226,0.410295850661016,1.69576558198027,0.384586069284234
"SRR5098421",23,23,0,NA,NA,1.09335943755841,0.472598650048619,1.89608919296886,1.95619671613598
"SRR5098423",4,4,0,NA,NA,1.37891494901891,0.74617308999745,3.93969260386913,0.47103436627194
"SRR5098425",7,7,0,NA,NA,0.45805974094321,0.216737826522124,1.27671172419798,0.597839620935935
"SRR5098426",12,12,0,NA,NA,1.98268241844394,0.819524202511632,5.5409091629832,1.22746506680577
"SRR5098427",6,6,0,NA,NA,1.59698295573713,0.774291358024691,4.43049052640791,0.978236524519119
"SRR5098429",6,6,0,NA,NA,1.29665880028812,0.621608912678463,2.64276837776111,0.609601791090609
"SRR5098430",6,6,0,NA,NA,1.50279903164647,0.754285038639592,4.06975625115976,0.578615076554977
"SRR5098431",5,5,0,NA,NA,1.56600019915401,0.780584772627855,4.55756882499282,0.548615529581893
"SRR5098432",7,7,0,NA,NA,1.59620119406794,0.755649087201843,4.09247499241404,0.783551826888367
"SRR5098434",20,20,0,NA,NA,1.85695284537108,0.740192586228058,3.84900486665017,2.04034189570137
"SRR5098435",11,11,0,NA,NA,1.52263900952646,0.618518641450661,2.62136006803243,1.10658488132394
"SRR5098436",7,7,0,NA,NA,0.650583141220722,0.381183230411987,1.61598723425961,0.575204244827067
"SRR5098438",10,10,0,NA,NA,1.48966950987353,0.633523667261438,2.72868916944053,0.991043233151569
"SRR5098439",7,7,0,NA,NA,0.816287031255453,0.368499655295826,1.58353041037285,0.604945333398577
"SRR5098440",19,19,0,NA,NA,1.80950997187801,0.744869693479669,3.91956570600643,1.90045197822189
"SRR5098442",11,11,0,NA,NA,1.76681565010169,0.755858327603809,4.09598242768325,1.07653222464564
"SRR5098443",19,19,0,NA,NA,2.01635704315596,0.740029695477342,3.84659317854068,1.89371813569535
"SRR5098444",17,17,0,NA,NA,1.39577389800348,0.696326568880186,3.2930111676627,1.56891188178493
"SRR5098445",4,4,0,NA,NA,1.2078483637138,0.647771565831117,2.8390666482097,0.467167638263965
"SRR5098446",20,20,0,NA,NA,2.77672818192278,0.926097842919738,13.5314047587806,2.04353041810393
"SRR5098447",5,5,0,NA,NA,0.835428718470501,0.494380165394932,1.97777051365298,0.417704753817243
"SRR5098449",5,5,0,NA,NA,0.212928003829231,0.0780519688408043,1.08465983569884,0.433155889049894
"SRR5098450",14,14,0,NA,NA,1.10472457594964,0.409996972347977,1.69490655663176,1.32867122757685
"SRR5098452",5,5,0,5,0.894427190999916,0.261399498874992,0.101879110914399,1.11343585496394,0.440599543141516
"SRR5098453",9,9,0,9,0.942809041582063,1.74630704174876,0.801248860324197,5.03141768963524,0.90022208015697
"SRR5098454",12,12,0,NA,NA,1.13550516658411,0.503255172214672,2.0131060135208,1.28769972527311
"SRR5098456",13,13,0,NA,NA,2.27327995664243,0.869061446848058,7.63717007655945,1.32626659156867
"SRR5098457",8,8,0,NA,NA,1.35947604395021,0.594958420644524,2.46888233447848,0.802121352379748
"SRR5098458",23,23,0,NA,NA,2.33558114890559,0.848967918514254,6.62110983416711,2.24285459251174
"SRR5098459",11,11,0,NA,NA,1.43977795310054,0.639903439331577,2.77703291068309,1.08800543144393
"SRR5098460",7,7,0,NA,NA,1.52872620838413,0.723302748228878,3.61405830234692,0.664028894963344
"SRR5098461",13,13,0,NA,NA,1.79430020758999,0.725052876911283,3.63706296965809,1.30150875758902
"SRR5098465",8,8,0,NA,NA,1.99470320052026,0.85242857320739,6.77637955893285,0.984945966051223
"SRR5098466",19,19,0,NA,NA,1.86565263238374,0.736173914216401,3.79037575844657,1.86363643252056
"SRR5098467",11,11,0,NA,NA,1.81236661280637,0.766486485269711,4.28240738509295,1.0760936299547
"SRR5098469",10,10,0,NA,NA,0.752617715492633,0.380837456567495,1.61508477960604,0.87310521068835
"SRR5098470",6,6,0,NA,NA,1.1770099103527,0.616113482283904,2.60493649516379,0.601739239273203
"SRR5098471",13,13,0,NA,NA,0.74320065304323,0.272071181285689,1.37376069512707,1.19122584469998
"SRR5098473",5,5,0,NA,NA,1.13553534663657,0.552121298151391,2.23274738421926,0.519332770914329
"SRR5098474",6,6,0,6,0.912870929175277,1.31847205574681,0.654900011139187,2.89771090199404,0.689855994967331
"SRR5098475",10,10,0,NA,NA,1.19031999646569,0.491914183677042,1.96817145425757,1.03037502912993
"SRR5098477",24,24,0,NA,NA,2.03322987140492,0.781113420074768,4.56857611070346,2.33053399426457
"SRR5098478",7,7,0,NA,NA,0.658382874129419,0.262167218656737,1.35532064349248,0.617565695903752
"SRR5098479",17,17,0,NA,NA,1.6429178945568,0.705114661332251,3.3911485885255,1.84709314761902
"SRR5098481",9,9,0,NA,NA,1.56541557702554,0.711577851410944,3.46714011005029,0.879377409688986
"SRR5098483",8,8,0,NA,NA,1.79527191120163,0.802976368228763,5.07553327999301,0.780669375615647
