"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"SRR5098376",7,7,0,NA,NA,1.90210273764594,0.844615630501686,6.43565374837044,0.707480759172487
"SRR5098377",9,9,0,NA,NA,1.55516344341311,0.65171008285794,2.87117125929351,0.931734060707964
"SRR5098378",10,10,0,NA,NA,1.97368629035648,0.818326393154304,5.50437687324249,0.982729285217592
"SRR5098379",2,2,0,NA,NA,0.688692314281717,0.495551752939436,1.98236391111879,0.20159193215677
"SRR5098380",2,2,0,NA,NA,0.687913351822234,0.494775308641975,1.97931735543652,0.302419248631234
"SRR5098382",2,2,0,NA,NA,0.637950252329004,0.445826369319597,1.80448860183445,0.207409029115537
"SRR5098383",1,1,0,NA,NA,0,0,1,0.106316697419187
"SRR5098384",9,9,0,NA,NA,0.652520806346831,0.29336956180038,1.41516689055716,0.7910182312827
"SRR5098385",4,4,0,NA,NA,0.232511269862902,0.0888411949169169,1.09750352454621,0.353515891113531
"SRR5098386",5,5,0,NA,NA,0.780776017046342,0.357079686868223,1.55540271410749,0.487129409498699
"SRR5098388",6,6,0,NA,NA,0.450374170561925,0.18855528666675,1.23236985042666,0.534010055959637
"SRR5098389",16,16,0,NA,NA,0.682567019402478,0.242861366652717,1.32076208498176,1.56672389147239
"SRR5098390",7,7,0,NA,NA,1.48265961225494,0.67541286902138,3.08083686800838,0.746307233506646
"SRR5098392",6,6,0,NA,NA,1.2725452303119,0.60312766152287,2.51970193699359,0.581786143007621
"SRR5098393",7,7,0,NA,NA,1.15539811260608,0.521445076340087,2.08962430550741,0.715318151946941
"SRR5098394",20,20,0,NA,NA,0.893946666573491,0.342694919765058,1.52136356475834,1.83264580658755
"SRR5098395",15,15,0,NA,NA,1.31359664753875,0.587282286801548,2.42296360931608,1.60176561331685
"SRR5098396",2,2,0,NA,NA,0.064248900973701,0.0233792477479344,1.02393892172988,0.173679953259099
"SRR5098397",5,5,0,NA,NA,1.50049451342949,0.754288412129986,4.06981212676472,0.482303845022824
"SRR5098398",1,1,0,NA,NA,0,0,1,0.068007783851528
"SRR5098400",6,6,0,NA,NA,0.804836026001531,0.359080779320081,1.560259027556,0.553727332162128
"SRR5098401",9,9,0,NA,NA,0.878823596383757,0.423464270492186,1.7344978790017,0.756861158155268
"SRR5098402",5,5,0,NA,NA,1.5318053827841,0.765743597647434,4.26882676399579,0.533337758984961
"SRR5098403",12,12,0,NA,NA,0.959476657351338,0.43825025830788,1.78015213142381,1.06614071933502
"SRR5098406",11,11,0,NA,NA,1.72810638108562,0.765686885066875,4.26779354747348,1.02481495573669
"SRR5098407",4,4,0,NA,NA,0.330269223580122,0.135051380573675,1.1561380381915,0.455920882655991
