"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769_ITS2_ASV181","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Cardamine","s__maritima"
"PRJNA356769_ITS2_ASV186","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Phaseolus","s__coccineus"
"PRJNA356769_ITS2_ASV190","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Pedaliaceae","g__Sesamum","s__indicum"
"PRJNA356769_ITS2_ASV191","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Lamiaceae",NA,NA
"PRJNA356769_ITS2_ASV193","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Salsola","s__praecox"
"PRJNA356769_ITS2_ASV195","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae",NA,NA
"PRJNA356769_ITS2_ASV201","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV205","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Ulmaceae","g__Ulmus","s__americana"
"PRJNA356769_ITS2_ASV208","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Capsicum","s__annuum"
"PRJNA356769_ITS2_ASV209","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Urticaceae","g__Urtica","s__stachyoides"
"PRJNA356769_ITS2_ASV216","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__maxima"
"PRJNA356769_ITS2_ASV224","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Raphanus","s__sativus"
"PRJNA356769_ITS2_ASV227","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Monocotyledonae_ord_Incertae_sedis","f__Monocotyledonae_fam_Incertae_sedis","g__Monocotyledonae_gen_Incertae_sedis",NA
"PRJNA356769_ITS2_ASV241","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Lamiaceae","g__Melissa","s__axillaris"
"PRJNA356769_ITS2_ASV242","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Carya",NA
"PRJNA356769_ITS2_ASV247","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__persica"
"PRJNA356769_ITS2_ASV248","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae",NA,NA,NA,NA
